key,label,group,form,n_conv,in_set,sensitivity,a,sigma_star,S2,Mstar_1e21,Mstar_1e24,share_M_extrap,share_C_extrap,n,med_w,share_gt1,med_s,med_w_lo,med_w_hi,share_gt1_lo,share_gt1_hi,med_s_lo,med_s_hi,B,sample
gadre_c4,Gadre et al. C4,Gadre et al.,kappa = 1,total,True,False,0.5093775244848627,0.7952908342556049,0.25740164091794604,6.858823767816794,6.025380772234392,0.45454545454545453,0.948051948051948,77,3.1752099778739957,1.0,0.6850601985480144,1.1217627538240948,7.6561512797434235,0.5844155844155844,1.0,0.1085441274098829,0.8693852247393382,400,clean
gadre_rp,Gadre et al. RedPajama,Gadre et al.,kappa = 1,total,True,False,0.5289881222161921,0.7948841498996213,0.25804496180516473,5.76845750587666,3.8648350615686304,0.45454545454545453,0.948051948051948,77,3.5048924222660043,1.0,0.7146845382051772,2.5183408117510155,6.935113196351125,1.0,1.0,0.6029111139808854,0.8557748219555764,400,clean
olmo,OLMo ladder (AI2),OLMo ladder,kappa = 1,olmo,True,False,0.3701326547720303,0.8249713524417156,0.21216330365926278,48.30974429028038,290.5619959128822,0.7532467532467533,0.8831168831168831,77,1.3207812825969636,0.7662337662337663,0.2428723716967225,0.4505417129503865,2.6587911563813558,0.1814935064935065,1.0,-1.2195578669008802,0.6238887230260755,400,clean
meta_a2,Meta Llama 3 law (A2/A1),Meta Llama 3,A2/A1 path (kappa=1),total,True,False,0.4632208729054042,0.7847208002675895,0.27433859234902436,18.847252160905857,31.327288287638048,0.45454545454545453,0.935064935064935,77,2.299837481539526,0.922077922077922,0.5651866673072075,1.9515692755737366,2.653522884801428,0.8961038961038961,1.0,0.4875812740460725,0.6231301762928302,200,clean
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",Meta Llama 3,kappa = 1,total,True,False,0.5268194506631989,0.7694753765641237,0.29958674501739035,13.94859842914485,9.629724610826644,0.45454545454545453,0.935064935064935,77,3.25952239251754,1.0,0.69320658686206,2.357673431568608,4.041380414509123,0.9087662337662338,1.0,0.575851597216497,0.7525596789525147,200,clean
chin_q,"Chinchilla, kappa free (reference)",Chinchilla,kappa free,total,True,False,0.5036073384721135,0.7005534232668366,0.42744288556435484,22.668669527435366,21.566615737528085,0.6103896103896104,0.8831168831168831,77,3.986234596660721,0.974025974025974,0.7491366913433287,3.211278471656321,4.855010167100583,0.922077922077922,1.0,0.6885972844458034,0.7940272031178597,399,clean
chin_q_pairs,"Chinchilla, kappa free (m2 pairs draws)",Chinchilla,kappa free,total,False,True,0.5036073384721135,0.7005534232668366,0.42744288556435484,22.668669527435366,21.566615737528085,0.6103896103896104,0.8831168831168831,77,3.986234596660721,0.974025974025974,0.7491366913433287,3.249129707228462,6.039440556308021,0.922077922077922,1.0,0.6922251506722289,0.834419027877737,200,clean
gadre_rw_q,"Gadre et al. RefinedWeb, kappa free",Gadre et al.,kappa free,total,True,False,0.47693532478942063,0.594477159190701,0.6821504149316059,44.32052719993317,60.95270292633108,0.45454545454545453,0.948051948051948,77,4.763980431934067,0.8831168831168831,0.7900914971655283,3.4906744610549816,15.385876672806516,0.8441558441558441,1.0,0.7135149108705585,0.9350053280612678,200,clean
gadre_c4_q,"Gadre et al. C4, kappa free",Gadre et al.,kappa free,total,True,False,0.4631055657789476,0.6067287961698127,0.6481828558539647,47.145567053051,78.48876018716652,0.45454545454545453,0.948051948051948,77,3.947027647360872,0.8831168831168831,0.7466447946802104,2.05854435761978,10.604917339408832,0.7012987012987013,1.0,0.5142167628550236,0.9056823374498978,200,clean
gadre_rp_q,"Gadre et al. RedPajama, kappa free",Gadre et al.,kappa free,total,True,False,0.4947048151901647,0.6231797839540552,0.6046733635276693,30.056664298514228,32.33790565024368,0.45454545454545453,0.948051948051948,77,5.640024266503702,0.935064935064935,0.8226957983250117,3.4829513620603234,12.87634324730425,0.8831168831168831,1.0,0.7128871763973544,0.9223376754388557,200,clean
olmo_q,"OLMo ladder (AI2), kappa free",OLMo ladder,kappa free,olmo,True,False,0.43079881341437265,0.5441918103531439,0.8375873744793536,54.45839894586335,141.66807366978298,0.7532467532467533,0.8831168831168831,77,4.680434113728057,0.8441558441558441,0.7863446048589966,3.798373694305666,6.36949476914175,0.7792207792207793,0.8574675324675325,0.7366954627193869,0.8429987547407952,200,clean
muen,"Muennighoff et al., single epoch",Muennighoff et al.,kappa = 1,total,True,False,0.5351989283763525,0.734547630504754,0.36138210576329405,59.63013038939475,36.6667306880666,0.6233766233766234,0.935064935064935,77,2.5544669064180403,0.922077922077922,0.6085288881654631,0.541377211800813,10.018679835354892,0.2597402597402597,1.0,-0.8471413789797126,0.9001864461641679,400,clean
muen_q,"Muennighoff et al., kappa free",Muennighoff et al.,kappa free,total,True,False,0.44430475206321374,0.5107306168712504,0.9579793475590459,46.3181344621291,99.98216732695872,0.6233766233766234,0.935064935064935,77,6.8716633969857055,0.8571428571428571,0.8544748276758353,1.1503356558156514,37.30201024732534,0.5454545454545454,0.9743506493506494,0.13068754996915435,0.9731879759417118,200,clean
chin_ne,"Chinchilla, non-embedding N (m8)",Chinchilla,kappa = 1,nonemb,True,False,0.5561105649981141,0.75261269880731,0.32870465989310665,21.08044966485007,9.709938529556435,0.5844155844155844,0.8701298701298701,77,3.647335899172349,1.0,0.7258272811596762,2.825628346064535,4.705164296019388,0.974025974025974,1.0,0.6460932220714882,0.7874671954292185,399,clean
marin_comma_a3,"Marin comma, primal",Marin,kappa = 1,total,True,False,0.3445042756857398,0.6631971928477981,0.5078471543372425,26.626572634052366,228.18632481893187,0.2077922077922078,1.0,77,2.1331143329776068,0.7792207792207793,0.5312018748642959,1.4795440826429989,3.9677323940098,0.7012987012987013,0.8831168831168831,0.3241160963330206,0.7479615840438932,200,clean
marin_comma_a2,"Marin comma, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.4049294587482616,0.904446351886696,0.10564877387583785,15.602979492071295,58.02708913224656,0.2077922077922078,1.0,77,1.3326896471260075,0.8831168831168831,0.24963775162766852,1.1276836424857912,1.5715598109453284,0.7230519480519481,0.9522727272727272,0.11318295902387739,0.3636729985023053,188,clean
marin_dclm_a3,"Marin dclm, primal",Marin,kappa = 1,total,True,False,0.37117687075037675,0.6471160994354697,0.5453177580844901,17.862340665177953,105.89541174817701,0.2077922077922078,1.0,77,3.3128447018050844,0.8571428571428571,0.6981446188965256,2.4104220960015774,6.398551059221988,0.7792207792207793,0.922077922077922,0.5851346835052856,0.8437143289521049,200,clean
marin_dclm_a2,"Marin dclm, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.423579071485716,0.8656940992796529,0.15514244677433245,11.31874005202327,32.53296583052131,0.2077922077922078,1.0,77,1.6564748217833096,0.922077922077922,0.39630836107521944,1.264861234343139,2.395421128920013,0.7785714285714286,1.0,0.20939941874707432,0.5825039499899077,200,clean
marin_nemotron_a3,"Marin nemotron, primal",Marin,kappa = 1,total,True,False,0.38511292695443444,0.6579760219686652,0.5198122220441992,16.73769222815777,81.84987416779883,0.2077922077922078,1.0,77,3.520406913642251,0.8701298701298701,0.7159419281547231,2.4493969607761765,6.843175011419134,0.8181818181818182,0.987012987012987,0.5917341970899411,0.85386893374885,200,clean
marin_nemotron_a2,"Marin nemotron, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.4223734822719683,0.8672896392049884,0.1530173482951582,12.017043134540915,35.120179458932604,0.2077922077922078,1.0,77,1.6266207376941342,0.922077922077922,0.3852285435524568,1.3613998725946543,2.167454111968358,0.8571428571428571,1.0,0.2654606163313351,0.5386035761950234,200,clean
meta_mf,Meta Llama 3: own path + model-free curvature,Meta Llama 3,model-free curvature,total,True,False,0.46322087290540404,0.6595077631182621,0.5162823789546223,18.84725216090587,31.32728828763813,0.45454545454545453,0.935064935064935,77,4.793844065260739,0.922077922077922,0.7913991388984386,3.5952094477495664,6.5801222646246496,0.922077922077922,0.961038961038961,0.7218520309705967,0.8480271213155448,999,clean
meta_mfbc,"Meta Llama 3: model-free curvature, ra2 estimator bias-corrected",Meta Llama 3,model-free curvature,total,False,True,0.46322087290540404,0.6776028819696598,0.4757906535066593,18.84725216090587,31.32728828763813,0.45454545454545453,0.935064935064935,77,4.239340129675021,0.922077922077922,0.7641142325429175,3.8741540202320293,4.655488199662999,0.922077922077922,0.961038961038961,0.7418791305730371,0.7851997562561688,999,clean
meta_mfraw,"Meta Llama 3: model-free curvature, raw",Meta Llama 3,model-free curvature,total,False,True,0.46322087290540404,0.6528016950166154,0.5318587675764959,18.84725216090587,31.32728828763813,0.45454545454545453,0.935064935064935,77,5.0259751072147685,0.922077922077922,0.8010336345350172,4.5445283051225225,5.580583072573652,0.922077922077922,0.961038961038961,0.7799551597321072,0.8208072548982801,999,clean
marin_comma_mf,Marin comma: own path + model-free curvature,Marin,model-free curvature,total,True,False,0.40492945874824543,0.6999688390497418,0.4286350251785096,15.602979492075674,58.02708913227573,0.2077922077922078,1.0,77,3.2066151600063755,0.8831168831168831,0.6881446790147366,2.3995936905971043,5.380161192312071,0.8701298701298701,0.948051948051948,0.5832627507227127,0.8141319421502226,999,clean
marin_comma_mfbc,"Marin comma: model-free curvature, ra2 estimator bias-corrected",Marin,model-free curvature,total,False,True,0.4049294587482455,0.6749903229391557,0.481502720876994,15.602979492075592,58.02708913227542,0.2077922077922078,1.0,77,3.702222226516026,0.8831168831168831,0.729891957095982,3.0472378484986193,5.99868509051271,0.8701298701298701,0.948051948051948,0.6718339305657915,0.8332967983968863,999,clean
marin_comma_mfraw,"Marin comma: model-free curvature, raw",Marin,model-free curvature,total,False,True,0.40492945874824543,0.649708815729694,0.5391510408811228,15.602979492075674,58.02708913227573,0.2077922077922078,1.0,77,4.330341378170012,0.8831168831168831,0.7690713242514389,3.4821097310654023,7.433776221195979,0.8701298701298701,0.948051948051948,0.7128177565601035,0.8654788652793707,999,clean
marin_dclm_mf,Marin dclm: own path + model-free curvature,Marin,model-free curvature,total,True,False,0.4235790714856966,0.7125881529740448,0.40333514643264623,11.318740052026937,32.532965830540526,0.2077922077922078,1.0,77,3.713905334462069,0.922077922077922,0.7307416560350097,2.3700422177197815,6.163065250792391,0.8831168831168831,1.0,0.5780662966873618,0.8377430701963261,999,clean
marin_dclm_mfbc,"Marin dclm: model-free curvature, ra2 estimator bias-corrected",Marin,model-free curvature,total,False,True,0.4235790714856966,0.6618293022356259,0.5109636225263083,11.318740052026937,32.532965830540526,0.2077922077922078,1.0,77,5.2709398029671695,0.922077922077922,0.8102805121323772,3.575632200648926,9.081879475281076,0.8831168831168831,1.0,0.7203291456284177,0.8898899150592143,999,clean
marin_dclm_mfraw,"Marin dclm: model-free curvature, raw",Marin,model-free curvature,total,False,True,0.4235790714856966,0.6287677751563282,0.5904122945094851,11.318740052026937,32.532965830540526,0.2077922077922078,1.0,77,6.825475786080283,0.922077922077922,0.8534900670163716,4.359056793033857,12.79854926320701,0.8831168831168831,1.0,0.7705925392465512,0.9218654641822723,999,clean
marin_nemotron_mf,Marin nemotron: own path + model-free curvature,Marin,model-free curvature,total,True,False,0.4223734822719467,0.7049250317361109,0.4185905663431606,12.017043134544993,35.120179458955,0.2077922077922078,1.0,77,3.7843362509471503,0.922077922077922,0.7357528682210207,2.48035682715716,5.790767183908551,0.8831168831168831,0.987012987012987,0.5968319649846808,0.827311295793982,999,clean
marin_nemotron_mfbc,"Marin nemotron: model-free curvature, ra2 estimator bias-corrected",Marin,model-free curvature,total,False,True,0.4223734822719467,0.6719323192181971,0.48824512737162934,12.017043134544993,35.120179458955,0.2077922077922078,1.0,77,4.7224646227900475,0.922077922077922,0.7882461638412027,3.3116621560413417,6.946349393315362,0.8831168831168831,0.987012987012987,0.6980368248510811,0.8560394896703765,999,clean
marin_nemotron_mfraw,"Marin nemotron: model-free curvature, raw",Marin,model-free curvature,total,False,True,0.4223734822719467,0.6439738967827555,0.5528579729643139,12.017043134544993,35.120179458955,0.2077922077922078,1.0,77,5.799440664088697,0.922077922077922,0.8275695781849789,3.8803178680087833,8.977431180843064,0.8831168831168831,0.987012987012987,0.7422891476364128,0.8886095605236859,999,clean
meta_mf8,Meta Llama 3: path on ra1's 8 bracketed budgets + ra1 curvature,Meta Llama 3,model-free curvature,total,False,True,0.5006500270028927,0.6595077631182621,0.5162823789546223,14.9275310887356,14.794075212861259,0.45454545454545453,0.935064935064935,77,6.468788811010996,1.0,0.8454115555144067,,,,,,,0,clean
deepseek,DeepSeek LLM law + reference curvature,DeepSeek LLM,published law,ds,True,False,0.5243,0.7005534232668366,0.42744288556435484,19.45463116848766,13.906665276662359,,1.0,77,4.567216973792544,1.0,0.7810482826329103,3.9607095417565503,5.307730564675926,1.0,1.0,0.7475196939325226,0.8115955584441126,399,clean
minicpm,MiniCPM law (published),MiniCPM,published law,nonemb,True,False,0.4423076923076923,0.7936507936507936,0.26,191.86999999999998,425.7561418557327,0.8831168831168831,0.948051948051948,77,1.203372074386714,0.6363636363636364,0.16900182305656417,,,,,,,0,clean
chin,Chinchilla refit (Besiroglu sample),Chinchilla,kappa = 1,total,True,False,0.5138995166400605,0.7367885708471132,0.3572414659612088,21.38452464385309,17.64828469179426,0.6144578313253012,0.8795180722891566,83,3.336123407238904,1.0,0.7002508966454464,2.641064584922029,4.772261784896979,0.9156626506024096,1.0,0.6213646401793983,0.7904535953478075,400,clean (a)-(g)
chin_cl,"Chinchilla refit, 9-cluster bootstrap",Chinchilla,kappa = 1,total,False,True,0.5138995166400605,0.7367885708471132,0.3572414659612088,21.38452464385309,17.64828469179426,0.6144578313253012,0.8795180722891566,83,3.336123407238904,1.0,0.7002508966454464,1.8312049528984253,6.430876849260862,0.8427710843373495,1.0,0.45389303256275093,0.8445001946033671,400,clean (a)-(g)
chin_nls,"Chinchilla, NLS in levels",Chinchilla,kappa = 1,total,False,True,0.5445761265805437,0.7180720802198791,0.3926178548729987,18.271806593570943,9.870172210427755,0.6144578313253012,0.8795180722891566,83,4.559451438166846,1.0,0.7806753699295773,3.2065548085106075,5.991309441769167,0.9759036144578314,1.0,0.6881388053617835,0.833091216081435,400,clean (a)-(g)
chin245,"Chinchilla, all 245 points",Chinchilla,kappa = 1,total,False,True,0.5646443737941063,0.713683621859235,0.40118109673705993,15.50306893984586,6.346750640508776,0.6144578313253012,0.8795180722891566,83,5.452164593282916,1.0,0.8165866083294692,3.1218781047700737,11.595977567557282,0.9756024096385543,1.0,0.6796786509158524,0.9137551290977659,400,clean (a)-(g)
besi,Besiroglu et al. (published),Chinchilla,kappa = 1,total,True,False,0.5126121076233184,0.7370283018867925,0.3568,21.58940233164001,18.13710528255443,0.6144578313253012,0.8795180722891566,83,3.3127505226244915,1.0,0.6981360373591428,,,,,,,0,clean (a)-(g)
hoff,Hoffmann et al. A3 (TeX),Chinchilla,kappa = 1,total,True,False,0.4564973561929178,0.7621660759879578,0.31205,33.983146558812905,61.98397891716081,0.6144578313253012,0.8795180722891566,83,2.1160272727479117,0.891566265060241,0.527416298986836,,,,,,,0,clean (a)-(g)
farseer,Farseer (non-emb. N),Farseer,kappa = 1,nonemb,True,False,0.5262862914401026,0.7715456830138219,0.29609953372273046,24.83750105926499,17.273890012425067,0.25301204819277107,0.9518072289156626,83,2.78385775850079,1.0,0.6407862445750329,2.3904469227382257,3.2075373437335584,0.9156626506024096,1.0,0.5816667670719992,0.6882340753277955,400,clean (a)-(g)
farseer_emb,Farseer (N incl. emb.),Farseer,kappa = 1,total,True,False,0.41107534815931157,0.7243633846088833,0.38052256815817026,19.819241516746818,67.70721355117544,0.37349397590361444,0.9518072289156626,83,2.638470205823901,0.891566265060241,0.620992498686285,2.2303993269717957,3.0951836623699225,0.866566265060241,0.927710843373494,0.5516497026656758,0.676916590500997,200,clean (a)-(g)
farseer_q,"Farseer, q-family (inner)",Farseer,kappa free,nonemb,True,False,0.5206724642363436,0.7100137965003706,0.40842333617876125,24.328946130881675,18.284728300013487,0.25301204819277107,0.9518072289156626,83,4.04089345326454,1.0,0.7525299759655568,3.8545971800060017,4.166807271565799,0.9879518072289156,1.0,0.7405694937742106,0.7600080568753284,200,clean (a)-(g)
gadre_rw,Gadre et al. RefinedWeb,Gadre et al.,kappa = 1,total,True,False,0.5655649742397674,0.796064243465083,0.2561800234202607,3.351168155397674,1.354585352135306,0.4457831325301205,0.9518072289156626,83,4.385030597319284,1.0,0.7719514202223963,2.1899252530399633,7.555105104307528,0.9515060240963855,1.0,0.5433632685436498,0.8676334624978105,400,clean (a)-(g)
gadre_c4,Gadre et al. C4,Gadre et al.,kappa = 1,total,True,False,0.5093775244848627,0.7952908342556049,0.25740164091794604,6.858823767816794,6.025380772234392,0.4457831325301205,0.9518072289156626,83,3.1752099778739957,1.0,0.6850601985480144,1.1217627538240948,7.652602831333465,0.5903614457831325,1.0,0.1085441274098829,0.8693254846448417,400,clean (a)-(g)
gadre_rp,Gadre et al. RedPajama,Gadre et al.,kappa = 1,total,True,False,0.5289881222161921,0.7948841498996213,0.25804496180516473,5.76845750587666,3.8648350615686304,0.4457831325301205,0.9518072289156626,83,3.5048924222660043,1.0,0.7146845382051772,2.5183408117510155,6.864324641734715,1.0,1.0,0.6029111139808854,0.8542936155461827,400,clean (a)-(g)
olmo,OLMo ladder (AI2),OLMo ladder,kappa = 1,olmo,True,False,0.3701326547720303,0.8249713524417156,0.21216330365926278,48.30974429028038,290.5619959128822,0.7590361445783133,0.8795180722891566,83,1.3207812825969636,0.7710843373493976,0.2428723716967225,0.4505417129503865,2.6308687017688603,0.18042168674698797,1.0,-1.2195578669008802,0.6198969964992312,400,clean (a)-(g)
meta_a2,Meta Llama 3 law (A2/A1),Meta Llama 3,A2/A1 path (kappa=1),total,True,False,0.4632208729054042,0.7847208002675895,0.27433859234902436,18.847252160905857,31.327288287638048,0.4457831325301205,0.927710843373494,83,2.299837481539526,0.927710843373494,0.5651866673072075,1.9515692755737366,2.653522884801428,0.9036144578313253,1.0,0.4875812740460725,0.6231301762928302,200,clean (a)-(g)
meta_a3,"Meta Llama 3 IsoFLOPs, primal (A3)",Meta Llama 3,kappa = 1,total,True,False,0.5268194506631989,0.7694753765641237,0.29958674501739035,13.94859842914485,9.629724610826644,0.4457831325301205,0.927710843373494,83,3.25952239251754,1.0,0.69320658686206,2.357673431568608,4.015380066590523,0.9153614457831325,1.0,0.575851597216497,0.7509575716583837,200,clean (a)-(g)
chin_q,"Chinchilla, kappa free (reference)",Chinchilla,kappa free,total,True,False,0.5036073384721135,0.7005534232668366,0.42744288556435484,22.668669527435366,21.566615737528085,0.6144578313253012,0.8795180722891566,83,3.986234596660721,0.9759036144578314,0.7491366913433287,3.211278471656321,4.855010167100583,0.927710843373494,1.0,0.6885972844458034,0.7940272031178597,399,clean (a)-(g)
chin_q_pairs,"Chinchilla, kappa free (m2 pairs draws)",Chinchilla,kappa free,total,False,True,0.5036073384721135,0.7005534232668366,0.42744288556435484,22.668669527435366,21.566615737528085,0.6144578313253012,0.8795180722891566,83,3.986234596660721,0.9759036144578314,0.7491366913433287,3.249129707228462,6.039440556308021,0.927710843373494,1.0,0.6922251506722289,0.834419027877737,200,clean (a)-(g)
gadre_rw_q,"Gadre et al. RefinedWeb, kappa free",Gadre et al.,kappa free,total,True,False,0.47693532478942063,0.594477159190701,0.6821504149316059,44.32052719993317,60.95270292633108,0.4457831325301205,0.9518072289156626,83,4.763980431934067,0.891566265060241,0.7900914971655283,3.4906744610549816,15.385876672806516,0.8433734939759037,1.0,0.7135149108705585,0.9350053280612678,200,clean (a)-(g)
gadre_c4_q,"Gadre et al. C4, kappa free",Gadre et al.,kappa free,total,True,False,0.4631055657789476,0.6067287961698127,0.6481828558539647,47.145567053051,78.48876018716652,0.4457831325301205,0.9518072289156626,83,3.947027647360872,0.891566265060241,0.7466447946802104,2.05854435761978,10.604917339408832,0.7108433734939759,1.0,0.5142167628550236,0.9056823374498978,200,clean (a)-(g)
gadre_rp_q,"Gadre et al. RedPajama, kappa free",Gadre et al.,kappa free,total,True,False,0.4947048151901647,0.6231797839540552,0.6046733635276693,30.056664298514228,32.33790565024368,0.4457831325301205,0.9518072289156626,83,5.640024266503702,0.9397590361445783,0.8226957983250117,3.4829513620603234,12.87634324730425,0.891566265060241,1.0,0.7128871763973544,0.9223376754388557,200,clean (a)-(g)
olmo_q,"OLMo ladder (AI2), kappa free",OLMo ladder,kappa free,olmo,True,False,0.43079881341437265,0.5441918103531439,0.8375873744793536,54.45839894586335,141.66807366978298,0.7590361445783133,0.8795180722891566,83,4.680434113728057,0.8433734939759037,0.7863446048589966,3.798373694305666,6.36949476914175,0.7831325301204819,0.8677710843373495,0.7366954627193869,0.8429987547407952,200,clean (a)-(g)
muen,"Muennighoff et al., single epoch",Muennighoff et al.,kappa = 1,total,True,False,0.5351989283763525,0.734547630504754,0.36138210576329405,59.63013038939475,36.6667306880666,0.6265060240963856,0.927710843373494,83,2.5544669064180403,0.927710843373494,0.6085288881654631,0.541377211800813,9.720690754535296,0.26506024096385544,1.0,-0.8471413789797126,0.8971266106357912,400,clean (a)-(g)
muen_q,"Muennighoff et al., kappa free",Muennighoff et al.,kappa free,total,True,False,0.44430475206321374,0.5107306168712504,0.9579793475590459,46.3181344621291,99.98216732695872,0.6265060240963856,0.927710843373494,83,6.8716633969857055,0.8674698795180723,0.8544748276758353,1.1503356558156514,37.30201024732534,0.5542168674698795,0.9762048192771086,0.13068754996915435,0.9731879759417118,200,clean (a)-(g)
chin_ne,"Chinchilla, non-embedding N (m8)",Chinchilla,kappa = 1,nonemb,True,False,0.5561105649981141,0.75261269880731,0.32870465989310665,21.08044966485007,9.709938529556435,0.5903614457831325,0.8674698795180723,83,3.6559052664549085,1.0,0.7264699364133992,2.890058794494688,4.695307063766812,0.9759036144578314,1.0,0.6539819935243545,0.7870210883695754,399,clean (a)-(g)
marin_comma_a3,"Marin comma, primal",Marin,kappa = 1,total,True,False,0.3445042756857398,0.6631971928477981,0.5078471543372425,26.626572634052366,228.18632481893187,0.20481927710843373,1.0,83,2.1331143329776068,0.7831325301204819,0.5312018748642959,1.4795440826429989,3.9677323940098,0.6987951807228916,0.891566265060241,0.3241160963330206,0.7479615840438932,200,clean (a)-(g)
marin_comma_a2,"Marin comma, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.4049294587482616,0.904446351886696,0.10564877387583785,15.602979492071295,58.02708913224656,0.20481927710843373,1.0,83,1.3326896471260075,0.891566265060241,0.24963775162766852,1.1276836424857912,1.5715598109453284,0.7189759036144578,0.9557228915662649,0.11318295902387739,0.3636729985023053,188,clean (a)-(g)
marin_dclm_a3,"Marin dclm, primal",Marin,kappa = 1,total,True,False,0.37117687075037675,0.6471160994354697,0.5453177580844901,17.862340665177953,105.89541174817701,0.20481927710843373,1.0,83,3.3128447018050844,0.8674698795180723,0.6981446188965256,2.4104220960015774,6.398551059221988,0.7831325301204819,0.927710843373494,0.5851346835052856,0.8437143289521049,200,clean (a)-(g)
marin_dclm_a2,"Marin dclm, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.423579071485716,0.8656940992796529,0.15514244677433245,11.31874005202327,32.53296583052131,0.20481927710843373,1.0,83,1.6564748217833096,0.927710843373494,0.39630836107521944,1.264861234343139,2.395421128920013,0.7825301204819277,1.0,0.20939941874707432,0.5825039499899077,200,clean (a)-(g)
marin_nemotron_a3,"Marin nemotron, primal",Marin,kappa = 1,total,True,False,0.38511292695443444,0.6579760219686652,0.5198122220441992,16.73769222815777,81.84987416779883,0.20481927710843373,1.0,83,3.520406913642251,0.8795180722891566,0.7159419281547231,2.4493969607761765,6.843175011419134,0.8192771084337349,0.9879518072289156,0.5917341970899411,0.85386893374885,200,clean (a)-(g)
marin_nemotron_a2,"Marin nemotron, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.4223734822719683,0.8672896392049884,0.1530173482951582,12.017043134540915,35.120179458932604,0.20481927710843373,1.0,83,1.6266207376941342,0.927710843373494,0.3852285435524568,1.3613998725946543,2.167454111968358,0.8674698795180723,1.0,0.2654606163313351,0.5386035761950234,200,clean (a)-(g)
