set,series,tau,share
S2(c),"training compute (decisions, 49)",1.0037563896450599,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0075268897532852,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0113115533290737,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0151104335759285,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0189235838972053,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.022751057896864,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0265929093802217,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0304491923547094,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0343199610306308,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.038205269821925,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0421051733469306,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0460197264291544,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0499489840980412,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.053893001589748,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0578518343479208,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.061825538024473,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0658141684803681,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0698177817864059,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0738364342240092,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0778701822860162,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.081919082677474,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0859831923164365,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.090062568334763,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0941572680789229,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.0982673491108015,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1023928692085085,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1065338863671912,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1106904587998487,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1148626449381513,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.119050503433261,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1232540931566566,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1274734732009615,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.131708702880773,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1359598417334986,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.14022694952019,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.144510086226386,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1488093120629532,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1531246874669348,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1574562731023983,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1618041298612898,0.11578325886444348
S2(c),"training compute (decisions, 49)",1.1661683188642884,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.170548901461667,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.174945939234154,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.1793594939937981,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.1837896277848394,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.1882364028845795,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.1926998818042585,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.197180127289932,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2016772023233553,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2061911701228671,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2107220941442793,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.215270038081768,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2198350658687698,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.22441724167888,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2290166299267555,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2336332952690185,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2382673026051683,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2429187170784903,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.247587604076975,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.252274029234235,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2569780584304278,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2616997577931832,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.266439193698532,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.271196432771839,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.27597154188874,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.280764588176082,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2855756390128659,0.11530510098957326
S2(c),"training compute (decisions, 49)",1.2904047620311951,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.2952520251172248,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.3,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.300117496412118,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.3050012443130017,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.3099033374739293,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.3148238448068454,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.3197628354825557,0.11462204597154485
S2(c),"training compute (decisions, 49)",1.3247203789316973,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3296965448457159,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3346914031778463,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3397050241440938,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3447374782242234,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3497888361627488,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3548591689699279,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3599485479227609,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.365057044565992,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3701847307131156,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3753316784473855,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.380497960122828,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3856836483652597,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3908888160733075,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.3961135364194348,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4013578828509687,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.406621929091133,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.411905749140085,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4172094172759553,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.422533008055892,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.427876596317109,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4332402571779377,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4386240660388838,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4440280985836862,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4494524307803813,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4548971388823717,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4603622994294965,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4658479892491092,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4713542854571564,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.476881265459262,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.482429006951816,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4879975879230662,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4935870866542142,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.4991975817205172,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5048291519923909,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5104818766365193,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5161558351169673,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5218511071962977,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5275677729366928,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.533305912701079,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5390656071542586,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5448469372640405,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5506499843023815,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5564748298465272,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5623215557801589,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5681902442945452,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5740809778896971,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5799938393755277,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.5859289118730162,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.591886278815377,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.597866023949232,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6038682313357877,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6098929853520179,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6159403706918487,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6220104723673496,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6281033757099288,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6342191663715326,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.640357930325849,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6465197538695169,0.11016510081206919
S2(c),"training compute (decisions, 49)",1.6527047236233388,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.6589129265334988,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.6651444498727852,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.671399381241816,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.6776778085702722,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.6839798201181324,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.690305504476914,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.6966549505709185,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7030282476584826,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7094254853332314,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7158467535253383,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7222921425027904,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7287617428726558,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7352556455823582,0.10631215957618208
S2(c),"training compute (decisions, 49)",1.7417739419209555,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.7483167235204224,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.7548840823569396,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.7614761107521855,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.7680929013746352,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.7747345472408627,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.781401141716848,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.788092778519291,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.7948095517169271,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8015515557318509,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8083188853408434,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.815111635676704,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8219299022295876,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8287737808483477,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8356433677418833,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.84,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8425387594804918,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8494600529972256,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8564073455892562,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8633807349192406,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8703803190166952,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.877406196279373,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8844584654746483,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.8915372257409027,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.898642576588921,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.9057746179032893,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.9129334499437989,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.9201191733468563,0.10542121776789128
S2(c),"training compute (decisions, 49)",1.9273318891268973,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9345716986778072,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9418387037743463,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9491330065735806,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9564547096163178,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9638039158285494,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9711807285228957,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9785852514000606,0.10425198937822952
S2(c),"training compute (decisions, 49)",1.9860175885502878,0.10316547497787487
S2(c),"training compute (decisions, 49)",1.9934778444548247,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.000966123987391,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.0084825324156528,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.0160271754027024,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.023600159008544,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.031201589691585,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.038831574310132,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.0464902201238915,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.054177634795481,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.0618939263919405,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.069639203386251,0.10316547497787487
S2(c),"training compute (decisions, 49)",2.077413574658861,0.10316547497787487
